,repository_name,language
221,ml-tune-mode-convbn,Python
222,ml-tweak,Python
223,ml-ui-jepa,Python
224,ml-uncertainty-llms-instruction-following,Python
225,ml-upscale,Jupyter Notebook
226,ml-uwac,Python
227,ml-veclip,Jupyter Notebook
228,ml-vfi-smiff,Python
229,ml-vfm-kt,
230,ml-vision-transformers-ane,Python
231,ml-vivid,Python
232,ml-winoidentity,
233,music-feed-examples,Java
234,openjdk,Java
235,parameterized-transforms,Python
236,password-manager-resources,JavaScript
237,pfl-research,Jupyter Notebook
238,pico-banana-400k,Python
239,pir-service-example,Swift
240,pkl,Java
241,pkl-evolution,
242,pkl-go,Go
243,pkl-go-examples,Go
244,pkl-intellij,Kotlin
245,pkl-jvm-examples,Groovy
246,pkl-k8s,Pkl
247,pkl-k8s-examples,Pkl
248,pkl-lang.org,JavaScript
249,pkl-lsp,Kotlin
250,pkl-neovim,Lua
251,pkl-package-docs,Kotlin
252,pkl-pantry,Pkl
253,pkl-project-commons,Pkl
254,pkl-spring,Java
255,pkl-swift,Swift
256,pkl-swift-examples,Swift
257,pkl-vscode,TypeScript
258,pkl.tmbundle,Pkl
259,pytorch-speech-features,Python
260,rules_pkl,Starlark
261,sample-backyard-birds,Swift
262,sample-cloudkit-coredatasync,Swift
263,sample-cloudkit-encryption,Swift
264,sample-cloudkit-privatedb,Swift
265,sample-cloudkit-privatedb-sync,Swift
266,sample-cloudkit-queries,Swift
267,sample-cloudkit-sharing,Swift
268,sample-cloudkit-sync-engine,Swift
269,sample-cloudkit-tooling,JavaScript
270,sample-cloudkit-zonesharing,Swift
271,sample-fbounds-safety-adoption,HTML
272,sample-food-truck,Swift
273,security-pcc,Swift
274,servicetalk,Java
275,speakstream-demo,HTML
276,swift-3-api-guidelines-review,Swift
277,swift-algorithms,Swift
278,swift-argument-parser,Swift
279,swift-asn1,Swift
280,swift-async-algorithms,Swift
281,swift-async-dns-resolver,Swift
282,swift-atomics,Swift
283,swift-binary-parsing,Swift
284,swift-cassandra-client,Swift
285,swift-certificates,Swift
286,swift-clang,C++
287,swift-clang-tools-extra,C++
288,swift-cluster-membership,Swift
289,swift-collections,Swift
290,swift-collections-benchmark,Swift
291,swift-compiler-rt,C
292,swift-configuration,Swift
293,swift-container-plugin,Swift
294,swift-crypto,Assembly
295,swift-distributed-actors,Swift
296,swift-distributed-tracing,Swift
297,swift-distributed-tracing-baggage-core,Swift
298,swift-distributed-tracing-extras,Swift
299,swift-evolution-staging,Swift
300,swift-homomorphic-encryption,Swift
301,swift-homomorphic-encryption-protobuf,
302,swift-http-structured-headers,Swift
303,swift-http-types,Swift
304,swift-internals,HTML
305,swift-issues,
306,swift-libcxx,C++
307,swift-llbuild2,Swift
308,swift-lldb,C++
309,swift-llvm,LLVM
310,swift-log,Swift
311,swift-metrics,Swift
312,swift-metrics-extras,Swift
313,swift-mmio,Swift
314,swift-nio,Swift
315,swift-nio-examples,Swift
316,swift-nio-extras,Swift
317,swift-nio-http2,Swift
318,swift-nio-imap,Swift
319,swift-nio-nghttp2-support,Swift
320,swift-nio-oblivious-http,Swift
321,swift-nio-ssh,Swift
322,swift-nio-ssl,Assembly
323,swift-nio-ssl-support,Swift
324,swift-nio-transport-services,Swift
325,swift-nio-zlib-support,Swift
326,swift-ntp,Swift
327,swift-numerics,Swift
328,swift-openapi-generator,Swift
329,swift-openapi-runtime,Swift
330,swift-openapi-urlsession,Swift
331,swift-play-experimental,Swift
332,swift-profile-recorder,Swift
333,swift-protobuf,Swift
334,swift-protobuf-plugin,
335,swift-protobuf-test-conformance,
336,swift-sample-distributed-actors-transport,Swift
337,swift-service-context,Swift
338,swift-service-discovery,Swift
339,swift-standard-library-preview,Swift
340,swift-statsd-client,Swift
341,swift-string-processing-benchmarks,Swift
342,swift-system,Swift
343,swift-temporal-sdk,Swift
344,swift-tools-support-async,Swift
345,swift-xcode-playground-support,Swift
346,swiftpm-on-llbuild2,Swift
347,SwiftUsd,C++
348,SwiftUsd-ast-answerer,C++
349,SwiftUsd-Tests,Swift
350,tensor-visualizer,Svelte
351,tensorflow_macos,Shell
352,ToolSandbox,Python
353,tree-sitter-pkl,Kotlin
354,turicreate,C++
355,unityplugins,C#
356,VideoFlashingReduction,Mathematica
357,visatronic-demo,HTML
358,vqg-multimodal-assistant,Python
